,s1_open,s2_open
1058,4.045,8.449
1059,4.073,8.262
1060,4.035,8.075
1061,4.045,8.124
1062,4.102,8.144
1063,4.073,8.154
1064,4.064,7.918
1065,4.102,7.908
1066,4.102,7.977
1067,4.092,8.016
1068,4.054,8.007
1069,4.045,8.095
1070,4.035,8.036
1071,4.007,7.977
1072,3.95,8.124
1073,3.902,8.576
1074,3.959,8.468
1075,3.997,8.508
1076,4.007,8.341
1077,3.988,8.321
1078,4.007,8.233
1079,3.997,8.468
1080,3.931,8.891
1081,3.921,8.537
1082,3.997,8.596
1083,3.959,8.626
1084,3.969,8.4
1085,3.912,8.773
1086,3.807,8.4
1087,3.845,8.449
1088,3.816,7.997
1089,3.912,7.967
1090,3.864,7.889
1091,3.873,8.105
1092,3.864,8.016
1093,3.854,8.056
1094,3.902,8.262
1095,3.845,8.282
1096,3.883,8.174
1097,3.845,8.134
1098,3.835,8.203
1099,3.788,8.282
1100,3.845,8.4
1101,3.807,8.842
1102,3.769,8.91
1103,3.835,8.989
1104,3.826,8.871
1105,3.835,8.822
1106,3.826,9.235
1107,3.807,9.215
1108,3.807,8.901
1109,3.816,8.969
1110,3.873,8.675
1111,3.921,8.989
1112,3.969,9.333
1113,3.959,9.303
1114,3.978,9.362
1115,3.969,9.264
1116,3.978,9.382
1117,3.902,9.244
1118,3.873,8.999
1119,3.845,9.136
1120,3.826,8.91
1121,3.95,8.97
1122,3.94,9.06
1123,3.959,8.85
1124,3.95,8.93
1125,3.969,9.16
1126,3.969,9.3
1127,3.883,9.22
1128,3.921,9.25
1129,3.883,8.87
1130,3.912,8.94
1131,3.931,8.96
1132,3.921,9.05
1133,3.95,8.81
1134,3.96,8.75
1135,3.99,8.68
1136,3.98,8.62
1137,3.96,8.62
1138,3.87,8.73
1139,3.85,8.25
1140,3.82,8.19
1141,3.83,8.22
1142,3.76,8.48
1143,3.74,8.62
1144,3.72,8.68
1145,3.69,8.71
1146,3.71,8.71
1147,3.72,8.92
1148,3.73,8.94
1149,3.69,8.75
1150,3.64,8.77
1151,3.67,8.52
1152,3.71,8.31
1153,3.72,8.14
1154,3.74,8.3
1155,3.74,8.32
1156,3.75,8.25
1157,3.74,8.18
1158,3.71,7.52
1159,3.63,7.88
1160,3.62,8.19
1161,3.58,8.0
1162,3.32,7.8
1163,3.32,8.02
1164,3.26,7.9
1165,3.27,7.64
1166,3.25,7.74
1167,3.18,8.03
1168,3.26,8.1
1169,3.36,8.11
1170,3.29,8.11
1171,3.26,8.16
1172,3.32,8.17
1173,3.28,8.06
1174,3.24,8.02
1175,3.3,8.13
1176,3.37,8.21
1177,3.43,8.23
1178,3.45,8.23
1179,3.45,8.15
1180,3.46,8.12
1181,3.45,7.93
1182,3.44,7.96
1183,3.4,7.96
1184,3.53,7.8
1185,3.62,7.86
1186,3.65,7.85
1187,3.72,8.02
1188,3.74,7.91
1189,3.74,8.17
1190,3.66,8.21
1191,3.68,8.15
1192,3.73,8.14
1193,3.52,8.11
1194,3.59,8.19
1195,3.62,8.21
1196,3.63,8.23
1197,3.56,8.35
1198,3.61,8.51
1199,3.71,8.45
1200,3.71,8.61
1201,3.73,8.6
1202,3.63,8.52
1203,3.69,8.52
1204,3.64,8.45
1205,3.63,8.49
1206,3.65,8.37
1207,3.69,8.5
1208,3.66,8.35
1209,3.68,8.35
1210,3.64,8.35
1211,3.63,8.35
1212,3.6,8.35
1213,3.65,8.35
1214,3.65,8.35
1215,3.6,8.35
1216,3.62,8.35
1217,3.58,8.35
